OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),Electricity(kWh),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Âgebâtiment,out_clas,consumption_rate_Electricity,consumption_rate_Gas,consumption_rate_Steam,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
437,2016,NonResidential,Medical Office,98101.0,1978200280,3,EAST,1.0,3,266000,"Medical Office, Parking",Medical Office,65.0,86.5,244.8000031,14009703.0,3488557.5,Compliant,201.15,0.76,71,Low,High Usage,High Usage,High Usage,0.60902,0.39098,266000.0,88666.667
438,2016,NonResidential,Medical Office,98104.0,1978200625,3,EAST,1.0,14,690158,"Medical Office, Parking",Medical Office,58.0,78.19999695,245.6999969,21156670.0,6200665.0,Compliant,147.49,0.21,24,Low,High Usage,Low Usage,Low Usage,0.40913,0.59087,690158.0,49297.0
439,2016,NonResidential,Mixed Use Property,98109.0,1991200150,7,LAKE UNION,1.0,6,378443,"Data Center, Office, Parking, Performing Arts, Restaurant, Retail Store",Parking,100.0,283.7000122,874.0999756000001,55073120.0,15681864.0,Compliant,456.22,1.21,15,Low,High Usage,High Usage,Low Usage,0.53055,0.46945,378443.0,63073.833
440,2016,NonResidential,Mixed Use Property,98109.0,1991200170,7,LAKE UNION,1.0,6,213834,"Data Center, Financial Office, Office, Other, Parking, Restaurant",Parking,100.0,707.2999877999999,2217.800049,75073888.0,21957020.0,Compliant,530.59,2.48,15,Low,High Usage,High Usage,Low Usage,0.50933,0.49067,213834.0,35639.0
441,2016,NonResidential,Hotel,98109.0,1991200540,7,LAKE UNION,1.0,5,109017,Hotel,Hotel,34.0,89.0,205.8000031,9707963.0,1648708.875,Compliant,243.66,2.24,37,Low,High Usage,High Usage,Low Usage,0.73023,0.26977,109017.0,21803.4
443,2016,NonResidential,Large Office,98119.0,1992200170,7,MAGNOLIA / QUEEN ANNE,1.0,5,275734,"Office, Parking",Office,77.0,71.69999695,225.0,16373232.0,4798719.0,Compliant,114.14,0.41,35,Low,High Usage,Low Usage,Low Usage,0.86055,0.13945,275734.0,55146.8
446,2016,NonResidential,Distribution Center,98108.0,2024049060,2,GREATER DUWAMISH,1.0,1,59090,"Distribution Center, Office",Distribution Center,45.0,53.40000153,78.90000153,3153949.5,185927.7969,Compliant,117.11,1.98,53,Low,High Usage,High Usage,Low Usage,1.0,0.0,59090.0,59090.0
449,2016,NonResidential,Large Office,98102.0,2107700210,4,LAKE UNION,1.0,3,158600,"Laboratory, Office, Parking",Office,19.0,126.6999969,361.60000610000003,18471858.0,4672048.0,Compliant,236.9,1.49,54,Low,High Usage,High Usage,Low Usage,0.75788,0.24212,158600.0,52866.667
452,2016,NonResidential,Large Office,98109.0,2163901080,3,LAKE UNION,1.0,7,139200,Office,Office,81.0,52.90000153,166.1000061,4342597.0,1272742.25,Compliant,30.27,0.22,15,Low,High Usage,Low Usage,Low Usage,0.67868,0.32132,139200.0,19885.714
456,2016,NonResidential,Large Office,98109.0,2249500490,7,MAGNOLIA / QUEEN ANNE,2.0,5,213283,"Office, Parking",Office,83.0,53.59999847,168.3999939,5661689.5,1659346.125,Compliant,39.47,0.19,20,Low,High Usage,Low Usage,Low Usage,0.45974,0.54026,106641.5,42656.6
